index,Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Огноо,Зарын гарчиг,Үнэ,Байрлал,Талбай_numeric,Үнэ_mean
15738,Паркет,Тагтгүй,2013,Байхгүй,Вакум,9,Бүргэд,42.84,8,Лизинггүй,Баянгол,2,6-р бичил,2020-03-21 10:34:00,6-R BICHIL KHOROOLOL 1 OROO BAIR 42.84M2,63000000.0,Улаанбаатар,42.84,60501230.76923077
15739,Паркет,1 тагттай,1987,Байхгүй,Вакум,5,Бүргэд,19.0,5,Лизинггүй,Баянзүрх,2,16-р хороолол,2020-03-21 11:09:00,16R XOROOLOLD 1 URUU BAIR 19M2,37000000.0,Улаанбаатар,19.0,39777777.777777776
15744,Паркет,2 тагттай,1988,Байхгүй,Мод,9,Бүргэд,32.0,1,Лизинггүй,Сонгино Хайрхан,2,1-р хороолол,2020-03-13 13:20:00,TSAMBAGARAVT NEG DAVKHRYN 1 OROO BAIR,56000000.0,Улаанбаатар,32.0,53151244.44444445
15748,Паркет,1 тагттай,1988,Байхгүй,Вакум,9,Бүргэд,30.0,1,Лизинггүй,Баянгол,2,"3, 4 хороолол",2020-03-13 16:47:00,1 OROO 34 M2 BAIR,55000000.0,Улаанбаатар,30.0,56938935.39325843
15753,Паркет,1 тагттай,2011,Байгаа,Вакум,5,Бүргэд,31.0,4,Банкны лизингтэй,Баянгол,1,"3, 4 хороолол",2020-03-13 18:52:00,1 OROO 31M2 BAIR,57000000.0,Улаанбаатар,31.0,56938935.39325843
15756,Паркет,1 тагттай,2010,Байхгүй,Вакум,4,Бүргэд,35.0,1,Лизинггүй,Баянзүрх,1,Офицер,2020-03-13 21:34:00,SUNJIN GRAND ZOCHID BUUDLYN KHAJUUD 1 OROO 35M2,47000000.0,Улаанбаатар,35.0,48726743.967289716
15760,Паркет,1 тагттай,2010,Байхгүй,Вакум,4,Бүргэд,37.0,1,Лизинггүй,Баянзүрх,1,13-р хороолол,2020-03-21 11:44:00,SUNJIN GRAND BUUDLYN KHAJUUD BAIRLALTAI 37 MK-TAI 1 OROO BAIR,47000000.0,Улаанбаатар,37.0,79020892.15686275
15761,Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Бүргэд,27.71,11,Лизинггүй,Баянзүрх,1,15-р хороолол,2020-03-21 12:10:00,1 OROO BAIR 27M2,41565000.0,Улаанбаатар,27.71,55971105.0955414
15762,Паркет,1 тагттай,2019,Байхгүй,Вакум,13,Бүргэд,43.0,5,Лизинггүй,Хан-Уул,1,120 мянгат,2020-03-21 11:51:00,ALTAI KHOTKHONY URD 1 OROO BAIR 43 MK,65000000.0,Улаанбаатар,43.0,82816551.72413793
15763,Паркет,1 тагттай,2010,Байхгүй,Вакум,10,Бүргэд,28.0,8,Лизинггүй,Чингэлтэй,1,"40, 50 мянгат",2020-03-21 13:06:00,40.50 MYANGATAD 1OROO 28M2 BAIR,60000000.0,Улаанбаатар,28.0,70839285.71428572
15764,Паркет,Тагтгүй,2000,Байхгүй,Вакум,12,Бүргэд,18.0,1,Лизинггүй,Хан-Уул,2,19-р хороолол,2020-03-21 13:15:00,1 OROO BAIR,57000000.0,Улаанбаатар,18.0,54500000.0
